scheme,seed,project_drug_id,assignment
drug,0,DB00006,train
drug,0,DB00014,train
drug,0,DB00035,train
drug,0,DB00091,train
drug,0,DB00104,train
drug,0,DB00115,train
drug,0,DB00120,train
drug,0,DB00122,train
drug,0,DB00126,train
drug,0,DB00130,train
drug,0,DB00134,train
drug,0,DB00136,train
drug,0,DB00140,train
drug,0,DB00142,train
drug,0,DB00146,train
drug,0,DB00150,train
drug,0,DB00152,train
drug,0,DB00153,train
drug,0,DB00158,train
drug,0,DB00163,train
drug,0,DB00165,train
drug,0,DB00166,train
drug,0,DB00169,train
drug,0,DB00175,train
drug,0,DB00176,train
drug,0,DB00179,train
drug,0,DB00180,train
drug,0,DB00181,train
drug,0,DB00185,train
drug,0,DB00186,train
drug,0,DB00187,train
drug,0,DB00188,train
drug,0,DB00191,train
drug,0,DB00193,train
drug,0,DB00195,train
drug,0,DB00196,train
drug,0,DB00198,train
drug,0,DB00202,train
drug,0,DB00203,train
drug,0,DB00204,train
drug,0,DB00205,train
drug,0,DB00206,train
drug,0,DB00207,train
drug,0,DB00209,train
drug,0,DB00210,train
drug,0,DB00214,train
drug,0,DB00215,train
drug,0,DB00216,train
drug,0,DB00219,train
drug,0,DB00221,train
drug,0,DB00222,train
drug,0,DB00223,train
drug,0,DB00226,train
drug,0,DB00227,train
drug,0,DB00228,train
drug,0,DB00230,train
drug,0,DB00231,train
drug,0,DB00232,train
drug,0,DB00238,train
drug,0,DB00240,train
drug,0,DB00241,train
drug,0,DB00242,train
drug,0,DB00243,train
drug,0,DB00245,train
drug,0,DB00246,train
drug,0,DB00247,train
drug,0,DB00248,train
drug,0,DB00250,train
drug,0,DB00251,train
drug,0,DB00252,train
drug,0,DB00253,train
drug,0,DB00254,train
drug,0,DB00255,train
drug,0,DB00256,train
drug,0,DB00257,train
drug,0,DB00258,train
drug,0,DB00262,train
drug,0,DB00263,train
drug,0,DB00264,train
drug,0,DB00266,train
drug,0,DB00267,train
drug,0,DB00268,train
drug,0,DB00271,train
drug,0,DB00274,train
drug,0,DB00276,train
drug,0,DB00278,train
drug,0,DB00279,train
drug,0,DB00280,train
drug,0,DB00281,train
drug,0,DB00282,train
drug,0,DB00283,train
drug,0,DB00287,train
drug,0,DB00289,train
drug,0,DB00290,train
drug,0,DB00292,train
drug,0,DB00293,train
drug,0,DB00296,train
drug,0,DB00298,train
drug,0,DB00300,train
drug,0,DB00301,train
drug,0,DB00304,train
drug,0,DB00307,train
drug,0,DB00308,train
drug,0,DB00309,train
