seed,model,encoding,label,n,prevalence,brier,ece_uniform,ece_quantile,mce_quantile,temperature,brier_scaled,ece_uniform_scaled,ece_quantile_scaled,mce_quantile_scaled,fit_seconds
0,degree_only,none,degree_only,84690,0.5,0.4556211972104113,0.4545709992992884,0.4545709992992883,0.5085105457636079,119.4995373719942,0.2499762367314048,0.0072184755461354,0.0286872357803843,0.1010069562651563,0.3
0,logreg,concat,logreg[concat],84690,0.5,0.2439738452227141,0.0520401144219335,0.0516167734983843,0.1198636168145551,1.2813798434510586,0.2417150715998236,0.0346110690290397,0.0350356846506287,0.068541291294946,13.1
0,logreg,symmetric,logreg[symmetric],84690,0.5,0.2406031196738912,0.0551486678648644,0.0547377038538007,0.0994640431972603,1.4703493123342763,0.2375509904810616,0.0287041535242052,0.0287008406423965,0.049408991287497,12.2
0,random_forest,concat,random_forest[concat],84690,0.5,0.2275156825389072,0.0929247692100316,0.0943958189892231,0.2038321644189214,0.4127141732790493,0.2197060083628816,0.0585946179892492,0.0582370407886294,0.1018189023422817,73.2
0,random_forest,symmetric,random_forest[symmetric],84690,0.5,0.2196768208318171,0.1003970069184863,0.103473867494783,0.1784851824565687,0.4412306607604708,0.2100209363016159,0.059344424118742,0.0568568387063748,0.1079252745857114,76.9
1,degree_only,none,degree_only,82626,0.5,0.4555961209074559,0.4548800064685222,0.4548800064685222,0.5324926103604817,130.36164854697867,0.2499679463532733,0.0065900644403936,0.0377592202872365,0.1215560824182989,0.4
1,logreg,concat,logreg[concat],82626,0.5,0.2450017105814192,0.0566898582587887,0.056486479361421,0.1515408757288352,1.255222063551383,0.242671283082838,0.0431754886198673,0.0431754886198674,0.1035754708157282,13.4
1,logreg,symmetric,logreg[symmetric],82626,0.5,0.2420598671019996,0.0582458786088899,0.0587719366766203,0.1445608460727847,1.3558621160241124,0.2388965462163631,0.0385508562857091,0.038522926871691,0.0791056072745043,12.3
1,random_forest,concat,random_forest[concat],82626,0.5,0.2289266801431684,0.0871103196811647,0.0896256612708546,0.1869002696164107,0.3676725671745494,0.2226235085030763,0.0645800876235192,0.064206673954795,0.0994646067111386,78.1
1,random_forest,symmetric,random_forest[symmetric],82626,0.5,0.2229824549398101,0.085878921578358,0.0868098830647582,0.1670322700810084,0.3981953758704316,0.2167374394440966,0.0628438359474631,0.0628752537453756,0.091052300392981,78.1
2,degree_only,none,degree_only,94462,0.5,0.4534759957597162,0.4523597562122955,0.4523597562122957,0.4959105080588187,145.49256708788357,0.2499620182688555,0.0058770756818687,0.0317967651507093,0.0952790590860122,0.4
2,logreg,concat,logreg[concat],94462,0.5,0.2406972662987199,0.0436549086875428,0.043774550068688,0.0981765344674168,1.4382649625359392,0.2389870960014185,0.0299316086762552,0.0293158294375671,0.0480124868545438,11.7
2,logreg,symmetric,logreg[symmetric],94462,0.5,0.237607790978551,0.0483539599638822,0.0481869020448428,0.1073211349546571,1.486984137544794,0.2354943843597821,0.0318218427181814,0.03129546735343,0.0591793802457416,10.5
2,random_forest,concat,random_forest[concat],94462,0.5,0.2274621578005694,0.1115535290250584,0.1147425905420162,0.2415850854600158,0.3960608174898339,0.2165866258161046,0.0658276002383692,0.0665160807696742,0.1319209071087858,61.9
2,random_forest,symmetric,random_forest[symmetric],94462,0.5,0.2196112653258807,0.1154777782817296,0.1159880125381194,0.2043712665546611,0.3965809886004077,0.2062996678357407,0.0538619896615816,0.0537897781244321,0.1106283380104019,67.4
3,degree_only,none,degree_only,88110,0.5,0.4508795431117944,0.4499105337538044,0.4499105337538044,0.5384888416922486,137.86156093454602,0.2499522746583905,0.0060139685158366,0.0376543037085587,0.1351978629327336,0.4
3,logreg,concat,logreg[concat],88110,0.5,0.2386442741628973,0.0459180462992429,0.0454293792353443,0.0717315442716778,1.3959322895832458,0.2376838593623345,0.035610753446562,0.0355072559920415,0.0539690622681703,12.3
3,logreg,symmetric,logreg[symmetric],88110,0.5,0.2332645446245735,0.044416213578743,0.0442430874844194,0.0729739780477053,1.52101062684257,0.2327550452393701,0.0393601815996397,0.0408531032613236,0.076710577175761,11.3
3,random_forest,concat,random_forest[concat],88110,0.5,0.2241056901451411,0.1184776360395984,0.1186620757476162,0.2053437168285316,0.3863544757371173,0.2107052738667166,0.0550758832318125,0.0537471850320085,0.1174451307007309,71.5
3,random_forest,symmetric,random_forest[symmetric],88110,0.5,0.2172485789261358,0.1256438326897252,0.126345459259939,0.2204004631626975,0.4072054213933886,0.2022953495039345,0.0543357904077743,0.0539799891910218,0.1240840593228677,70.9
4,degree_only,none,degree_only,85168,0.5,0.4570403976322389,0.45708694634241,0.45708694634241,0.5353574489519428,141.74079468424844,0.2499268365003091,0.0062647874662294,0.0453823882264597,0.12439093392712,0.5
4,logreg,concat,logreg[concat],85168,0.5,0.2383091809879468,0.0411312883932948,0.0409870427670658,0.069043426853439,1.4130493093288743,0.2373379073444774,0.0310614907181202,0.0315319833610404,0.043065365936017,14.1
4,logreg,symmetric,logreg[symmetric],85168,0.5,0.2367757922572244,0.0497857750927566,0.0499609101336013,0.0916184650634985,1.4722804128141864,0.2349692391372964,0.0319567062619116,0.0327153666009096,0.0543558542630109,12.6
4,random_forest,concat,random_forest[concat],85168,0.5,0.2242044567676137,0.1122445189803559,0.1120867626694168,0.2037347138385074,0.392610402914899,0.2118611030772944,0.0488720061455945,0.0492173753029349,0.1084084441830727,80.1
4,random_forest,symmetric,random_forest[symmetric],85168,0.5,0.2178186193675775,0.1123828389160301,0.1120361357004465,0.1853954689259187,0.4076637852737959,0.2045419547157803,0.0460067279158735,0.0448271078430014,0.0974400135255079,80.0
