drugbank_id,degree
DB01174,913
DB00252,889
DB00794,889
DB01320,871
DB00285,859
DB00564,856
DB00176,844
DB01118,840
DB00312,838
DB01149,812
DB00343,793
DB00091,792
DB00246,788
DB08881,778
DB00363,770
DB00661,763
DB09118,761
DB01045,755
DB00270,754
DB00972,751
DB01026,748
DB00188,746
DB00320,734
DB00208,734
DB00834,733
DB00458,724
DB01242,724
DB01601,722
DB00679,721
DB00283,717
DB00243,714
DB00215,712
DB00224,711
DB00227,710
DB00333,709
DB00257,709
DB00582,705
DB00472,705
DB00752,701
DB00203,701
DB01201,700
DB00608,699
DB00477,699
DB12332,698
DB00468,697
DB00264,696
DB00238,693
DB09063,693
DB00622,692
DB00705,688
DB04868,688
DB01104,687
DB00263,685
DB01211,685
DB00502,683
DB09280,679
DB01232,672
DB04855,668
DB00220,664
DB01609,664
DB01072,664
DB00268,663
DB08912,662
DB01264,661
DB00872,658
DB00976,655
DB00476,652
DB00289,649
DB00559,649
DB01151,648
DB00615,645
DB01167,642
DB00196,636
DB00768,633
DB09065,631
DB00482,630
DB01238,630
DB00199,628
DB01580,627
DB01263,627
DB00673,627
DB08865,621
DB01224,618
DB01254,616
DB00808,615
DB00420,614
DB00195,611
DB08873,611
DB00418,610
DB00254,605
DB00678,596
DB01200,595
DB00734,594
DB00908,594
DB01142,593
DB00295,592
DB00715,590
DB00625,590
DB00321,590
DB05521,589
DB06290,588
DB00370,582
DB01136,578
DB00619,578
DB08899,575
DB00818,575
DB00575,572
DB00726,572
DB01319,572
DB01236,570
DB01018,569
DB01037,568
DB00540,567
DB09054,566
DB08880,564
DB00708,563
DB09330,559
DB01355,558
DB01403,550
DB01097,550
DB08918,548
DB00281,546
DB09048,545
DB00454,542
DB00648,541
DB08933,540
DB06717,539
DB00921,537
DB00313,537
DB06636,536
DB00571,536
DB00214,534
DB00697,534
DB01175,534
DB00813,533
DB08820,532
DB00390,531
DB09074,530
DB09073,529
DB09238,527
DB00588,526
DB00436,525
DB00612,522
DB01171,521
DB00682,521
DB04946,520
DB09167,520
DB01356,520
DB00206,518
DB00193,518
DB01159,518
DB01075,517
DB00543,516
DB01029,515
DB01041,513
DB00774,511
DB00999,511
DB00310,511
DB00524,511
DB00880,511
DB00924,511
DB00297,510
DB06216,508
DB00598,508
DB00344,508
DB06700,506
DB00349,506
DB00373,504
DB01154,504
DB00849,503
DB01100,502
DB00904,501
DB02703,501
DB01229,500
DB00296,499
DB00997,497
DB00599,496
DB05812,495
DB00850,494
DB06738,494
DB05271,494
DB00802,493
DB00327,492
DB06204,491
DB00899,491
DB00489,489
DB00696,488
DB00334,486
DB00907,484
DB01069,484
DB01095,483
DB00521,481
DB04861,480
DB01435,480
DB01023,476
DB00182,476
DB00318,475
DB01466,474
DB01002,473
DB01192,472
DB00497,471
DB00486,471
DB00177,471
DB01628,470
DB01551,470
DB00956,470
DB06697,470
DB00753,470
DB00484,469
DB00647,468
DB04846,467
DB00248,467
DB01267,467
DB01351,466
DB00474,466
DB06595,465
DB01235,464
DB01253,463
DB01624,463
DB00232,463
DB00932,463
DB00898,460
DB00490,460
DB00960,457
DB01189,457
DB01193,457
DB00470,455
DB01418,455
DB00335,454
DB04841,454
DB00433,453
DB00584,451
DB09068,450
DB01197,450
DB04896,447
DB00805,447
DB01367,447
DB01227,446
DB00780,446
DB01621,445
DB00656,444
DB00273,444
DB00455,443
DB00946,443
DB00936,442
DB00337,441
DB00586,441
DB00653,441
DB00633,440
DB00425,440
DB00903,438
DB00691,437
DB01324,437
DB01021,437
DB00695,436
DB01359,436
DB09286,435
DB00531,435
DB00887,434
DB00503,432
DB00404,431
DB00875,429
DB01247,428
DB07615,427
DB09128,426
DB06739,426
DB00945,425
DB08815,425
DB01124,424
DB06589,424
DB00829,423
DB04844,422
DB01015,421
DB00169,421
DB00835,419
DB00501,419
DB00951,418
DB01589,418
DB00623,418
DB00934,417
DB00683,417
DB06414,417
DB00230,416
DB04743,416
DB00450,416
DB01203,415
DB08922,415
DB00323,414
DB00864,413
DB08439,413
DB01173,412
DB00866,412
DB01028,408
DB08864,408
DB00641,407
DB00744,407
DB00765,407
DB00831,404
DB00933,403
DB00949,403
DB00748,403
DB00440,402
DB00266,402
DB06144,402
DB00814,402
DB06695,401
DB12598,399
DB00277,398
DB01240,398
DB01214,398
DB00413,397
DB00356,396
DB00391,396
DB01076,395
DB13783,395
DB00338,394
DB00881,394
DB00688,394
DB01115,394
DB00790,393
DB01340,393
DB01221,393
DB00231,392
DB00381,392
DB01283,391
DB00401,391
DB01544,391
DB06770,391
DB00657,390
DB01098,390
DB00187,389
DB00492,389
DB01137,389
DB00244,388
DB00555,388
DB01396,388
DB01054,387
DB06616,386
DB09216,385
DB00652,384
DB00496,384
DB00611,383
DB01209,383
DB00398,383
DB00844,383
DB08907,383
DB00897,382
DB00854,382
DB01198,382
DB01623,382
DB00508,382
DB00796,381
DB01452,381
DB01081,381
DB01433,381
DB11609,381
DB09075,380
DB00328,379
DB06712,379
DB00655,378
DB00178,378
DB00722,378
DB09477,378
DB00542,378
