bucket,edge_type,n_pairs_with_edge,precision,recall,balanced_accuracy
test_S2,cyp_inhibitor_substrate,51,0.784,0.339,0.623
test_S2,cyp_inducer_substrate,22,0.773,0.144,0.551
test_S2,cyp_shared_substrate,83,0.651,0.458,0.606
test_S2,transporter_inhibitor_substrate,10,0.9,0.076,0.534
test_S2,transporter_shared_substrate,6,0.833,0.042,0.517
test_S2,same_atc_class,28,0.857,0.203,0.585
test_S3,cyp_inhibitor_substrate,1,1.0,0.167,0.583
test_S3,cyp_inducer_substrate,0,0.0,0.0,0.5
test_S3,cyp_shared_substrate,4,0.25,0.167,0.333
test_S3,transporter_inhibitor_substrate,0,0.0,0.0,0.5
test_S3,transporter_shared_substrate,1,0.0,0.0,0.417
test_S3,same_atc_class,3,0.667,0.333,0.583
train,cyp_inhibitor_substrate,125,0.768,0.419,0.646
train,cyp_inducer_substrate,65,0.554,0.157,0.515
train,cyp_shared_substrate,156,0.654,0.445,0.605
train,transporter_inhibitor_substrate,29,0.828,0.105,0.541
train,transporter_shared_substrate,14,1.0,0.061,0.531
train,same_atc_class,34,0.794,0.118,0.544
val_S2,cyp_inhibitor_substrate,51,0.647,0.379,0.586
val_S2,cyp_inducer_substrate,15,0.8,0.138,0.552
val_S2,cyp_shared_substrate,55,0.473,0.299,0.483
val_S2,transporter_inhibitor_substrate,10,0.7,0.08,0.523
val_S2,transporter_shared_substrate,8,0.75,0.069,0.523
val_S2,same_atc_class,15,0.8,0.138,0.552
val_S3,cyp_inhibitor_substrate,4,0.25,0.125,0.375
val_S3,cyp_inducer_substrate,0,0.0,0.0,0.5
val_S3,cyp_shared_substrate,2,0.5,0.125,0.5
val_S3,transporter_inhibitor_substrate,0,0.0,0.0,0.5
val_S3,transporter_shared_substrate,0,0.0,0.0,0.5
val_S3,same_atc_class,2,1.0,0.25,0.625
test_S2,ANY_PATHWAY_EDGE,127,0.709,0.763,0.725
test_S3,ANY_PATHWAY_EDGE,6,0.5,0.5,0.5
train,ANY_PATHWAY_EDGE,249,0.643,0.699,0.655
val_S2,ANY_PATHWAY_EDGE,89,0.573,0.586,0.575
val_S3,ANY_PATHWAY_EDGE,7,0.571,0.5,0.562
