scheme,negatives,split_seed,member_seed,test_S1_fraction,architecture,lr,dropout,init_seed,epochs_run,best_epoch,stopped_by,wall_time_s,threshold,val_auprc,val_auc_roc,test_view,auc_roc,auprc,f1,brier,prevalence,n,n_positive
drug,degree_matched,0,0,0.0,gine,0.001,0.1,0,30,10,patience,48.7,0.5083894729614258,0.5839648832552862,0.6037924935250101,pooled,0.5447318357110813,0.5430190211719435,0.6565730430447067,0.24983518636712934,0.5,84690,42345
drug,degree_matched,0,0,0.0,gine,0.001,0.1,0,30,10,patience,48.7,0.5083894729614258,0.5839648832552862,0.6037924935250101,S2,0.5443929028851797,0.5428728032039157,0.6567218715458889,0.2498507532061566,0.5,76932,38466
drug,degree_matched,0,0,0.0,gine,0.001,0.1,0,30,10,patience,48.7,0.5083894729614258,0.5839648832552862,0.6037924935250101,S3,0.5483283278972363,0.5454857068345642,0.6550740638513203,0.24968081822327218,0.5,7758,3879
drug,degree_matched,0,1,0.0,gine,0.001,0.1,1,150,137,epoch_limit,224.4,0.38619551062583923,0.6210401331260587,0.6308888794069214,pooled,0.6013040476110906,0.6028791679247281,0.6596219034121518,0.2417753749501032,0.5,84690,42345
drug,degree_matched,0,1,0.0,gine,0.001,0.1,1,150,137,epoch_limit,224.4,0.38619551062583923,0.6210401331260587,0.6308888794069214,S2,0.6020231987150739,0.6029385379485469,0.6601159441426332,0.24172397046744798,0.5,76932,38466
drug,degree_matched,0,1,0.0,gine,0.001,0.1,1,150,137,epoch_limit,224.4,0.38619551062583923,0.6210401331260587,0.6308888794069214,S3,0.5940573381128719,0.6035685952386716,0.6546716595122842,0.2422851261307726,0.5,7758,3879
drug,degree_matched,0,2,0.0,gine,0.001,0.1,2,22,2,patience,41.5,0.5005324482917786,0.5801732998366923,0.5981909656810611,pooled,0.5490871322625364,0.548073086135803,0.6666666666666666,0.2513742361536216,0.5,84690,42345
drug,degree_matched,0,2,0.0,gine,0.001,0.1,2,22,2,patience,41.5,0.5005324482917786,0.5801732998366923,0.5981909656810611,S2,0.5477014361389452,0.5468517263010529,0.6666666666666666,0.25139297437644786,0.5,76932,38466
drug,degree_matched,0,2,0.0,gine,0.001,0.1,2,22,2,patience,41.5,0.5005324482917786,0.5801732998366923,0.5981909656810611,S3,0.5628920102499954,0.5613677251975551,0.6666666666666666,0.25118841906694034,0.5,7758,3879
drug,degree_matched,0,3,0.0,gine,0.001,0.1,3,145,125,patience,227.8,0.407188355922699,0.6210408344773795,0.6343098825321553,pooled,0.5940516620380183,0.5918059319837862,0.6629182597396107,0.24329678422278767,0.5,84690,42345
drug,degree_matched,0,3,0.0,gine,0.001,0.1,3,145,125,patience,227.8,0.407188355922699,0.6210408344773795,0.6343098825321553,S2,0.5945870524950578,0.5915122764459219,0.6636000439834329,0.24329793986872478,0.5,76932,38466
drug,degree_matched,0,3,0.0,gine,0.001,0.1,3,145,125,patience,227.8,0.407188355922699,0.6210408344773795,0.6343098825321553,S3,0.5882413888920457,0.5961005332900631,0.6561040388313948,0.24328532429068794,0.5,7758,3879
drug,degree_matched,0,4,0.0,gine,0.001,0.1,4,150,132,epoch_limit,226.3,0.35318875312805176,0.6416945925196188,0.6513491614200848,pooled,0.6317055635005991,0.6277366994347164,0.6629700134476676,0.23705415114222578,0.5,84690,42345
drug,degree_matched,0,4,0.0,gine,0.001,0.1,4,150,132,epoch_limit,226.3,0.35318875312805176,0.6416945925196188,0.6513491614200848,S2,0.633734320698069,0.6286779900507603,0.6640567277891323,0.23665449312443249,0.5,76932,38466
drug,degree_matched,0,4,0.0,gine,0.001,0.1,4,150,132,epoch_limit,226.3,0.35318875312805176,0.6416945925196188,0.6513491614200848,S3,0.6113525935788593,0.6185661444161148,0.6519755363556936,0.24101734921194418,0.5,7758,3879
drug,degree_matched,0,0,0.0,dual,0.001,0.3,0,29,9,patience,76.1,0.4915282130241394,0.5920387215685502,0.6161268177214076,pooled,0.5628302360490102,0.5561002750732404,0.6491522361867403,0.24976639029839176,0.5,84690,42345
drug,degree_matched,0,0,0.0,dual,0.001,0.3,0,29,9,patience,76.1,0.4915282130241394,0.5920387215685502,0.6161268177214076,S2,0.5619186351214747,0.5551009194478747,0.6497040191089417,0.24977610328671307,0.5,76932,38466
drug,degree_matched,0,0,0.0,dual,0.001,0.3,0,29,9,patience,76.1,0.4915282130241394,0.5920387215685502,0.6161268177214076,S3,0.5722821126655444,0.5677556412180748,0.6434934159566228,0.24967007170886743,0.5,7758,3879
drug,degree_matched,0,1,0.0,dual,0.001,0.3,1,35,15,patience,85.0,0.4889084994792938,0.5762275795041513,0.5986280072626291,pooled,0.5385531900559702,0.5296042679901127,0.6433669149285455,0.24961133727472207,0.5,84690,42345
drug,degree_matched,0,1,0.0,dual,0.001,0.3,1,35,15,patience,85.0,0.4889084994792938,0.5762275795041513,0.5986280072626291,S2,0.5385901770776486,0.5292399567312692,0.644521989796886,0.2496215685112951,0.5,76932,38466
drug,degree_matched,0,1,0.0,dual,0.001,0.3,1,35,15,patience,85.0,0.4889084994792938,0.5762275795041513,0.5986280072626291,S3,0.5382370723140135,0.5348285703308735,0.6315175097276264,0.2495098794902374,0.5,7758,3879
drug,degree_matched,0,2,0.0,dual,0.001,0.3,2,29,9,patience,67.7,0.4958847165107727,0.5793600022614969,0.607605666665689,pooled,0.5559297228439462,0.5436679686688315,0.6542931976603098,0.2496068488087383,0.5,84690,42345
drug,degree_matched,0,2,0.0,dual,0.001,0.3,2,29,9,patience,67.7,0.4958847165107727,0.5793600022614969,0.607605666665689,S2,0.5549010102068841,0.5426900738189637,0.6545959465921213,0.24962152405501606,0.5,76932,38466
drug,degree_matched,0,2,0.0,dual,0.001,0.3,2,29,9,patience,67.7,0.4958847165107727,0.5793600022614969,0.607605666665689,S3,0.5657434440018871,0.5545653347992434,0.6512319851231985,0.24946132212059213,0.5,7758,3879
drug,degree_matched,0,3,0.0,dual,0.001,0.3,3,149,129,patience,364.6,0.29251614212989807,0.661590838625939,0.6551288485830968,pooled,0.6187220281936185,0.6323842137355146,0.6654725928497598,0.23872435067126652,0.5,84690,42345
drug,degree_matched,0,3,0.0,dual,0.001,0.3,3,149,129,patience,364.6,0.29251614212989807,0.661590838625939,0.6551288485830968,S2,0.6211025417167659,0.6342204729912755,0.6655432403321636,0.238315194444117,0.5,76932,38466
drug,degree_matched,0,3,0.0,dual,0.001,0.3,3,149,129,patience,364.6,0.29251614212989807,0.661590838625939,0.6551288485830968,S3,0.594808701822553,0.6155697187251231,0.6647722380091277,0.2427817374806332,0.5,7758,3879
