scheme,negatives,seed,model,encoding,max_depth,test_view,auc_roc,auprc,f1,brier,prevalence,n,threshold,fit_seconds
random_pair,uniform,0,random_forest_full,symmetric,,pooled,0.9189708940250632,0.9159033177954076,0.8432491260470946,0.133743032421632,0.5,57418,0.4744153160073273,295.3
random_pair,uniform,1,random_forest_full,symmetric,,pooled,0.9168023390482564,0.9143437645907264,0.8395495779366159,0.1351924710230171,0.5,57418,0.4811694773008561,301.0
random_pair,uniform,2,random_forest_full,symmetric,None,pooled,0.9180174013901254,0.9145206125893641,0.8428239973483593,0.13438340313562172,0.5,57418,0.4787638394332625,329.3
random_pair,uniform,3,random_forest_full,symmetric,None,pooled,0.9187692546743624,0.9141372124596394,0.8433529490437341,0.13445071233793843,0.5,57418,0.4875811469678286,325.7
random_pair,uniform,4,random_forest_full,symmetric,None,pooled,0.9188562631901306,0.9163005786595902,0.8422531486562428,0.13449355329447107,0.5,57418,0.477555445431061,330.0
drug,degree_matched,0,random_forest_full,symmetric,None,pooled,0.763642647956936,0.7563059967184325,0.7205626726953027,0.20797217686907488,0.5,84690,0.4003498201513858,184.9
drug,degree_matched,1,random_forest_full,symmetric,None,pooled,0.7390541371921825,0.7403066628755777,0.7008747932637798,0.2137973446750026,0.5,82626,0.3983169064919377,191.7
drug,degree_matched,2,random_forest_full,symmetric,None,pooled,0.7646070902863635,0.7616156653761142,0.7190317269612424,0.2082567125478607,0.5,94462,0.402279890512339,165.5
drug,degree_matched,3,random_forest_full,symmetric,None,pooled,0.7745866041896923,0.777675413106838,0.7204452210910196,0.20646997382130178,0.5,88110,0.3983540115285899,178.6
drug,degree_matched,4,random_forest_full,symmetric,None,pooled,0.7830508678734726,0.7793086052492295,0.7314931634715,0.20317706283142478,0.5,85168,0.4192725349328189,201.0
