scheme,negatives,split_seed,member_seed,test_S1_fraction,architecture,lr,dropout,init_seed,epochs_run,best_epoch,stopped_by,wall_time_s,threshold,val_auprc,val_auc_roc,test_view,auc_roc,auprc,f1,brier,prevalence,n,n_positive
drug,degree_matched,0,0,0.0,dual,0.001,0.3,0,207,147,patience,16.7,0.06715766340494156,0.7178175554239937,0.7117839482511595,pooled,0.7235285934640446,0.7180197888399802,0.6917070494651184,0.24263960491177597,0.5,84690,42345
drug,degree_matched,0,0,0.0,dual,0.001,0.3,0,207,147,patience,16.7,0.06715766340494156,0.7178175554239937,0.7117839482511595,S2,0.7353375173352765,0.727295690700977,0.6971284380519808,0.2362018445002407,0.5,76932,38466
drug,degree_matched,0,0,0.0,dual,0.001,0.3,0,207,147,patience,16.7,0.06715766340494156,0.7178175554239937,0.7117839482511595,S3,0.5912278361662248,0.6066688403684908,0.6395337542496358,0.30647948425957583,0.5,7758,3879
drug,degree_matched,0,1,0.0,dual,0.001,0.3,1,145,85,patience,11.4,0.11577527970075607,0.7250019832466463,0.7221451968707697,pooled,0.7289358848990506,0.722214867769408,0.6941902491541064,0.23380518374864187,0.5,84690,42345
drug,degree_matched,0,1,0.0,dual,0.001,0.3,1,145,85,patience,11.4,0.11577527970075607,0.7250019832466463,0.7221451968707697,S2,0.7385101723146301,0.7287764480553554,0.6996645007856627,0.22855291008958012,0.5,76932,38466
drug,degree_matched,0,1,0.0,dual,0.001,0.3,1,145,85,patience,11.4,0.11577527970075607,0.7250019832466463,0.7221451968707697,S3,0.6187834879558833,0.6457754545569324,0.6418122714343762,0.2858892153468556,0.5,7758,3879
drug,degree_matched,0,2,0.0,dual,0.001,0.3,2,212,152,patience,16.7,0.059020351618528366,0.721714275590214,0.7229281868814991,pooled,0.7380972314119684,0.7166027828107567,0.7033583318434597,0.24147568893347443,0.5,84690,42345
drug,degree_matched,0,2,0.0,dual,0.001,0.3,2,212,152,patience,16.7,0.059020351618528366,0.721714275590214,0.7229281868814991,S2,0.7482819555714254,0.7241143984714677,0.7091001673092311,0.23528468632684754,0.5,76932,38466
drug,degree_matched,0,2,0.0,dual,0.001,0.3,2,212,152,patience,16.7,0.059020351618528366,0.721714275590214,0.7229281868814991,S3,0.6227620835773247,0.6295000941860496,0.648347272003186,0.30286860109292474,0.5,7758,3879
drug,degree_matched,0,3,0.0,dual,0.001,0.3,3,178,118,patience,14.0,0.08765063434839249,0.725229004729587,0.7114155139409779,pooled,0.7229328274270854,0.7047397097231556,0.6983389561786775,0.24263819376708962,0.5,84690,42345
drug,degree_matched,0,3,0.0,dual,0.001,0.3,3,178,118,patience,14.0,0.08765063434839249,0.725229004729587,0.7114155139409779,S2,0.7361810287792714,0.7142890224840965,0.7042130317147101,0.2353733557875863,0.5,76932,38466
drug,degree_matched,0,3,0.0,dual,0.001,0.3,3,178,118,patience,14.0,0.08765063434839249,0.725229004729587,0.7114155139409779,S3,0.5677396702692648,0.5776009505278306,0.6415650806134486,0.3146797657494497,0.5,7758,3879
drug,degree_matched,0,4,0.0,dual,0.001,0.3,4,198,138,patience,15.6,0.13595736026763916,0.7325704434457497,0.7326525998369866,pooled,0.7311211083280802,0.7118371636953063,0.6980023501762632,0.23481428427388598,0.5,84690,42345
drug,degree_matched,0,4,0.0,dual,0.001,0.3,4,198,138,patience,15.6,0.13595736026763916,0.7325704434457497,0.7326525998369866,S2,0.7413973507903739,0.7182766389222471,0.7052845085167172,0.22903203906705422,0.5,76932,38466
drug,degree_matched,0,4,0.0,dual,0.001,0.3,4,198,138,patience,15.6,0.13595736026763916,0.7325704434457497,0.7326525998369866,S3,0.6147342453375474,0.6392583275258135,0.6282011079753319,0.29215376458478864,0.5,7758,3879
