rank,drug_a,drug_b,label,baseline_prediction,drug_side,ablated_drug,modality,entity_id,ablated_prediction,delta_probability,abs_delta_probability
1,DB00006,DB00244,1,1.0,A,DB00006,pathway,160,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,A,DB00006,pathway,161,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,A,DB00006,pathway,162,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,A,DB00006,pathway,399,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,A,DB00006,pathway,620,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,A,DB00006,pathway,646,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,A,DB00006,pathway,704,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,A,DB00006,pathway,811,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,A,DB00006,pathway,1116,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,A,DB00006,pathway,1250,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,A,DB00006,pathway,1351,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,A,DB00006,pathway,1574,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,A,DB00006,pathway,1616,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,A,DB00006,pathway,1777,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,A,DB00006,pathway,1778,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,A,DB00006,pathway,1779,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,A,DB00006,pathway,1780,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,A,DB00006,pathway,1788,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,A,DB00006,pathway,1892,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,pathway,4,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,pathway,10,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,pathway,11,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,pathway,12,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,pathway,20,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,pathway,21,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,pathway,22,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,pathway,23,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,pathway,24,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,pathway,54,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,pathway,58,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,pathway,61,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,pathway,63,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,pathway,64,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,pathway,65,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,pathway,69,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,pathway,110,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,pathway,144,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,pathway,159,1.0,0.0,0.0
