rank,drug_a,drug_b,label,baseline_prediction,drug_side,ablated_drug,modality,entity_id,ablated_prediction,delta_probability,abs_delta_probability
1,DB00006,DB00244,1,1.0,A,DB00006,protein,330,0.8979950547218323,0.10200494527816772,0.10200494527816772
1,DB00006,DB00244,1,1.0,A,DB00006,protein,474,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,protein,14,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,protein,86,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,protein,99,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,protein,251,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,protein,257,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,protein,259,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,protein,304,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,protein,368,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,protein,597,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,protein,635,0.9999998807907104,1.1920928955078125e-07,1.1920928955078125e-07
1,DB00006,DB00244,1,1.0,B,DB00244,protein,716,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,protein,742,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,protein,749,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,protein,830,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,protein,841,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,protein,888,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,protein,987,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,protein,1067,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,protein,1116,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,protein,1203,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,protein,1223,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,protein,1227,0.9999992847442627,7.152557373046875e-07,7.152557373046875e-07
1,DB00006,DB00244,1,1.0,B,DB00244,protein,1274,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,protein,1280,1.0,0.0,0.0
1,DB00006,DB00244,1,1.0,B,DB00244,protein,1388,1.0,0.0,0.0
