drug_id,split,training_ddi_degree,probe_prediction
DB00006,train,138.0,38.84088
DB00014,train,136.0,199.53781
DB00027,test,0.0,-33.936493
DB00035,train,89.0,158.41515
DB00080,other,0.0,143.33087
DB00091,train,557.0,279.86746
DB00104,train,106.0,132.98357
DB00115,train,1.0,253.8056
DB00120,train,7.0,44.202957
DB00122,train,1.0,-13.757309
DB00126,train,16.0,166.19241
DB00130,train,1.0,34.889526
DB00134,train,1.0,9.241577
DB00136,train,94.0,138.54773
DB00140,train,0.0,179.96806
DB00142,train,6.0,67.14386
DB00146,train,26.0,-16.307892
DB00150,train,45.0,121.66182
DB00152,train,1.0,-0.1611023
DB00153,train,79.0,195.38374
DB00158,train,61.0,122.664
DB00162,other,0.0,181.11856
DB00163,train,32.0,-78.071594
DB00165,train,12.0,136.15694
DB00166,train,33.0,76.104095
DB00169,train,294.0,265.90625
DB00170,test,0.0,183.89966
DB00175,train,252.0,221.9291
DB00176,train,595.0,508.68933
DB00177,other,0.0,211.92386
DB00178,test,0.0,190.05106
DB00179,train,207.0,124.74646
DB00180,train,169.0,151.91736
DB00181,train,190.0,200.36852
DB00182,test,0.0,223.8938
DB00184,test,0.0,209.60107
DB00185,train,116.0,105.41112
DB00186,train,193.0,188.3038
DB00187,train,271.0,165.37769
DB00188,train,528.0,315.77405
DB00189,test,0.0,99.55383
DB00190,test,0.0,159.64679
DB00191,train,165.0,156.2864
DB00193,train,353.0,258.49152
DB00195,train,425.0,188.75839
DB00196,train,449.0,226.3927
DB00198,train,0.0,85.62863
DB00199,test,0.0,228.78802
DB00201,test,0.0,213.80467
DB00202,train,71.0,-2.692047
DB00203,train,498.0,322.79138
DB00204,train,185.0,172.87946
DB00205,train,149.0,228.92276
DB00206,train,365.0,253.85695
DB00207,train,247.0,217.42981
DB00208,other,0.0,243.7472
DB00209,train,80.0,62.154602
DB00210,train,213.0,69.03787
DB00211,test,0.0,149.82436
DB00212,test,0.0,740.3625
DB00213,test,0.0,190.2991
DB00214,train,378.0,205.81699
DB00215,train,496.0,264.83316
DB00216,train,182.0,164.76443
DB00217,other,0.0,498.9709
DB00218,test,0.0,5.5661163
DB00219,train,78.0,14.677368
DB00220,test,0.0,246.71376
DB00221,train,60.0,138.19896
DB00222,train,198.0,240.01091
DB00223,train,139.0,137.77203
DB00224,other,0.0,383.80844
DB00226,train,99.0,107.64778
DB00227,train,500.0,299.32767
DB00228,train,198.0,236.84586
DB00229,other,0.0,92.517105
DB00230,train,291.0,224.96869
DB00231,train,273.0,254.78473
DB00232,train,331.0,226.89885
DB00233,test,0.0,167.4358
DB00234,test,0.0,252.61772
DB00235,test,0.0,128.31583
DB00236,other,0.0,95.48553
DB00237,other,0.0,139.1098
DB00238,train,489.0,238.10272
DB00239,other,0.0,168.83395
DB00240,train,170.0,108.14368
DB00241,train,192.0,196.16498
DB00242,train,19.0,107.38632
DB00243,train,505.0,424.1533
DB00244,test,0.0,160.81866
DB00245,train,146.0,167.51567
DB00246,train,550.0,367.87286
DB00247,train,165.0,154.2074
DB00248,train,324.0,235.02771
DB00250,train,131.0,200.91437
DB00251,train,53.0,-41.56749
DB00252,train,624.0,307.40543
DB00253,train,139.0,112.302185
DB00254,train,423.0,246.2218
DB00255,train,154.0,155.5083
DB00256,train,1.0,40.03705
DB00257,train,503.0,237.63377
DB00258,train,74.0,85.4365
DB00259,test,0.0,131.71898
DB00260,other,0.0,198.02484
DB00261,test,0.0,51.791428
DB00262,train,35.0,171.40994
DB00263,train,477.0,215.93811
DB00264,train,490.0,192.42766
DB00266,train,278.0,145.81836
DB00267,train,3.0,8.165665
DB00268,train,462.0,318.8938
DB00270,test,0.0,202.81839
DB00271,train,1.0,133.89766
DB00273,other,0.0,274.58246
DB00274,train,3.0,153.03598
DB00275,other,0.0,215.927
DB00276,train,70.0,119.904655
DB00277,other,0.0,68.88511
DB00278,train,184.0,264.45038
DB00279,train,50.0,156.15662
DB00280,train,213.0,168.02493
DB00281,train,375.0,304.7365
DB00282,train,89.0,92.796196
DB00283,train,500.0,192.41328
DB00284,test,0.0,306.01154
DB00285,other,0.0,228.6905
DB00287,train,149.0,217.00972
DB00288,test,0.0,37.159607
DB00289,train,459.0,289.0827
